,Diameter (km),Long,Lat,tag
1728,6.91578943599,-6.42470958056,-36.2551287262,?
1729,8.52718314558,-6.23384109435,-36.5365234087,?
1730,10.5765996414,-8.48717990867,-36.9531620472,?
1731,9.22083437486,-6.4628832778,-36.7786537169,standard
1732,11.5331283226,-7.06384634009,-37.9827611956,standard
1733,9.20468463629,-4.91429095525,-37.3018590885,standard
1734,14.6944899228,-4.10811149652,-37.9674917167,standard
1735,9.13386101575,-3.06869625449,-38.4201226983,?
1736,6.92979067326,-2.59534240869,-39.1181560193,standard
1737,6.53181270143,-4.81814226522,-39.5915098651,?
1738,14.646625617,-6.19239536591,-39.4126388266,standard
1739,5.01402977109,-6.62866619153,-40.0866772522,standard
1740,5.41700083698,-7.05403024651,-38.7178775368,standard
1741,13.8763976526,-8.07599465552,-38.7571419111,standard
1742,7.31642744411,-2.89309724718,-40.4531447457,?
1743,9.20170155581,-2.27141132067,-40.6603733878,standard
1744,6.06748925098,-8.23115205331,-41.5874334251,standard
1745,6.30639565488,-1.66404792726,-42.9733757157,?
1746,18.1185425627,-0.54662534818,-43.8043067915,standard
1747,5.31761377831,-2.06894182299,-43.8444790318,standard
1748,9.98656942187,-2.16408660267,-44.6669527939,standard
1749,15.8127871891,-0.66819923332,-44.8445563827,standard
1750,5.11444905264,-2.04039838909,-44.285316511,?
1751,11.3568112012,-6.06185107671,-46.0930673248,?
1752,7.31438492884,-5.15691850557,-45.4185965534,standard
1753,9.06869953671,-4.81862595561,-45.5560279018,standard
1754,16.7872721755,-0.58891191693,-45.2843366976,standard
1755,6.03598509573,-2.98444603631,-48.0160490385,standard
1756,6.91348298894,-2.784641999,-48.4727439809,?
1757,5.86648675618,-4.80775205576,-47.2521567939,?
1758,6.39757858486,-4.89685610779,-47.7686726114,standard
1759,5.97673575107,-4.84294073264,-47.9864484404,standard
1760,6.1905616103,-4.77951087953,-48.3501129316,standard
1761,6.66587220159,-6.72892169866,-46.5233331618,?
1762,5.95362516286,-6.97206946894,-46.8595113833,?
1763,19.89570418,-7.80300054477,-48.0308493376,?
1764,8.26137370632,-8.22903772487,-47.3722360294,?
1765,15.544598546,-9.07054044289,-46.9874282538,standard
1766,10.9683975647,-8.97328133478,-49.2677314733,standard
1767,17.3568072189,-8.2988105633,-49.0203550462,standard
1768,8.51148923065,-6.68769229413,-48.9452963867,standard
1769,7.14600482192,-7.42030709763,-49.396705508,standard
1770,8.12652838605,-5.60092747739,-49.7191405947,standard
1771,13.4827448546,-4.43698967269,-48.8649519061,standard
1772,10.0447483998,-2.73284095228,-49.6990544745,?
1773,7.75756524602,-2.86498647961,-50.0014034411,standard
1774,9.6513843172,-1.50124463759,-49.8163997028,?
1775,6.97661625147,-0.84157416518,-50.0923195639,?
1776,6.43698853196,-0.52125340693,-50.0246610539,?
1777,6.73962984045,-1.02869223187,-50.3407531552,standard
1778,6.1222578625,-0.27387697978,-50.5796722687,standard
1779,6.47099408057,-1.26443985262,-50.7773619775,standard
1780,14.4822455253,-3.67794576373,-50.3375816626,standard
1781,13.893430597,-7.5661957598,-49.7053974599,?
1782,9.35551446914,-9.38557538004,-50.4041830084,standard
1783,8.62385086208,-21.7718830188,-41.7427684652,standard
1784,5.08658339077,-20.4381555247,-42.3660154345,standard
1785,5.36656714389,-20.3792991499,-42.594083887,standard
1786,6.07984126943,-19.6162682904,-42.113773828,?
1787,6.19450795345,-19.7865313747,-42.5877778468,standard
1788,6.80393921136,-18.4401918003,-43.2005147491,standard
1789,6.47117232596,-18.0355542233,-42.5320744921,standard
1790,16.9238940449,-17.2704213504,-43.1616275015,standard
1791,6.67810098063,-13.0653435697,-45.4149858524,?
1792,11.1590613209,-16.1700173423,-44.7391885485,standard
1793,7.44636345964,-15.9230307693,-45.2878140425,standard
